urn,name,comments,lon,lat
urn:uuid:596dfef1-029d-4c3f-a086-bb6d165af7c2,1-5 Old Gate,Old Gate Bar and Restaurant,53.7414608,-2.0149822
urn:uuid:b7cf19c9-106b-403d-bb42-a76f524bd448,2 Market Street,Organic House,53.7414481,-2.0151216
urn:uuid:e7aab954-4eba-4c8e-b909-152c6661266a,4 Market Street,Heart Gallery,53.741464,-2.0153148
urn:uuid:0093d7c3-7841-4509-b394-2374e410c032,6 Market Street,The Yorkshire Soap Company,53.7414132,-2.0156849
urn:uuid:d72d3fdf-33cd-4faf-84f1-0e4a9c1a961a,10 Market Street,Barclays Bank,53.7414021,-2.0158271
urn:uuid:8ed49cbb-815e-4abc-8893-50a71bfa0244,Barclays Bank Chambers Market Street,Cresswells,53.7413989,-2.0159156
urn:uuid:d22bc577-5359-492a-9c4f-6ec27da045bc,14 Market Street,The Deli,53.7413958,-2.0159719
urn:uuid:64f62f49-075d-4c42-922c-4b9d8ab886ac,16 Market Street,Molly and Ginger,53.7413958,-2.0160416
urn:uuid:2d3a6548-d3f6-49c4-b3ea-d1b58eb0fa60,18 Market Street,Ribbon Circus,53.741391,-2.0161167
urn:uuid:4d65614c-5736-4f3c-8573-7fc67596d89e,20 Market Street,Calder Gallery,53.7413894,-2.0161918
urn:uuid:c8fe977c-b387-4052-a5f6-38d44fa5d0c8,22 Market Street,Papas,53.7413831,-2.016275
urn:uuid:261a7fc4-292e-4756-994c-3233f3966e4f,30 Market Street,Saker Organic Bread,53.7413561,-2.0166505
urn:uuid:b0def3fe-4095-4920-85f8-597706448d67,28 Market Street,Ryburne Brokers and Co,53.7413609,-2.0165834
urn:uuid:7b0df051-5fec-43f0-8f51-1057775ab82b,24 Market Street,Mooch,53.7413735,-2.0163689
urn:uuid:7060b082-8275-4247-8542-8cb2ba617231,26 Market Street,Radiance,53.741372,-2.0164453
urn:uuid:25e519b4-274d-42d8-b040-988e85a8bf37,38 Market Street,Muse Music & Love Cafe,53.741345,-2.0169214
urn:uuid:e443e002-3ff0-43e6-84b6-8c0ab9856062,40 Market Street,2 Tone Comics,53.7413434,-2.016971
urn:uuid:fd8f4a02-18c5-494a-be2e-b289eae72265,42-44 Market Street,Mattocks,53.7413371,-2.0170649
urn:uuid:cfa4291a-cf73-4153-a738-856bd8550317,48-50 Market Street,Banyan Tree,53.741303,-2.0178763
urn:uuid:4d56596c-e937-404b-8fc5-c3c5428a9a51,52 Market Street,Kitties Restuarant,53.7412998,-2.0179983
urn:uuid:782eb374-128e-4f7c-aa8e-f9cd77d4c2d1,56 Market Street,Hat Therapy,53.741295,-2.0181887
urn:uuid:100e96da-dfe4-42f5-8b3d-422cb9abe698,58 Market Street,Snug Gallery,53.7412934,-2.0182799
urn:uuid:1d09716e-72ba-4fb1-acf4-77d9b21ce900,41 Market Street,Co-operative Food,53.7412474,-2.0169978
urn:uuid:4540ce63-d4ad-4b71-a8ed-f431bbcd4174,Salem Street,Salem Mill,53.7410499,-2.016672
urn:uuid:46336acc-df34-4301-84e2-7e180aeae1ca,39A Market Street,Not a Full Shilling,53.7412736,-2.0165727
urn:uuid:a4aebea3-f376-4387-ace1-53fcd9637034,37 Market Street,Ruby Shoesday,53.7412768,-2.0164936
urn:uuid:eb7fe90e-0368-4fbb-ac10-48ca28c13461,35 Market Street,Dynamite,53.7412784,-2.0164359
urn:uuid:83cd4858-5c8d-4ccb-9586-a15ff99691bd,33 Market Street,JK's Chinese Takeaway,53.7412823,-2.0163702
urn:uuid:8e496f4a-ee02-4aee-ab2c-7c14131e66d2,31 Market Street,Valley Organics,53.7412855,-2.0163085
urn:uuid:abe9e956-66f7-4014-a243-571e555452a1,29 Market Street,The Book Case,53.7412903,-2.0161851
urn:uuid:376d79bb-0ef4-4f1e-b14c-702caf9c3274,27 Market Street,Hair Care,53.7412887,-2.0161208
urn:uuid:ba8157c6-72dc-44b5-b655-368a1b9d0c21,23 Market Street,Earth Spirit,53.7413045,-2.0157452
urn:uuid:3482a7a1-a871-459b-81a2-23bc7ac9b79e,21 Market Street,Oxfam,53.7413156,-2.0156514
urn:uuid:d782fff8-5bdd-4730-a265-4ca825da5de1,25 Market Street,Element,53.7412966,-2.015984
urn:uuid:e260e344-12d5-4a11-b2fb-6eb0d23d3eea,19 Market Street,Eastern Spice,53.7413204,-2.0155629
urn:uuid:add7b333-e781-416a-8328-ce1ab115b049,15 Market Street,Drink?,53.7413283,-2.015477
urn:uuid:7613a795-5e5e-417e-a27e-a1c39bd54fe9,11-13 Market Street,Spirals,53.7413331,-2.0152839
urn:uuid:6919d166-dc82-4e9b-b392-ca6d92fb67e8,9 Market Street,Hebden Computers,53.7413442,-2.0151686
urn:uuid:47207e50-2e06-4f08-8709-75338e730144,7 Market Street,The Afghan Rug Shop,53.7413394,-2.0151096
urn:uuid:4a864732-94b5-4495-9fbc-e46f9303a0ac,5 Market Street,Café Solo,53.7413394,-2.0150425
urn:uuid:3354e12b-8363-4c2e-ba6d-94be11ef6761,1-5 Market Street,The Old Treehouse,53.7413252,-2.0149325
urn:uuid:89f68f36-1d8b-490f-bb32-6fe358f6e9e3,36 Market Street,Monster Computers,53.7413521,-2.0167511
urn:uuid:b678e63f-dbdd-4e3d-9370-c25be11ea60d,4 Hilton Street,Hotcakes,53.7411983,-2.0159142
urn:uuid:ef41018d-b69b-4554-820a-0c6fe8fd6b1f,Market Place,Hebden Bridge Market,53.7427964,-2.0128493
urn:uuid:79caf13f-dfe5-4f48-9104-39ca84f0cf21,46 Market Street,Empty shop unit,,
urn:uuid:5e4ee95e-c99f-499a-a2f8-b7d8164bc272,The Old Loading Bay Hebden Bridge Railway Station,Coffee Station / Parcel Bar,53.7377802,-2.0088153
urn:uuid:e9df781d-2a95-424a-b4e0-99d80ddd1914,3 Bridge Gate,Ladbrokes,53.7412465,-2.0139345
urn:uuid:f01dfc72-b449-4c93-90ae-e5c23f87cee9,Central Street,Central Street Infant and Nursery School ,53.7410113,-2.0158073
urn:uuid:820ebedc-dcd6-47e7-88b9-defaae1a87a8,Church Lane,Hebden Royd CE Primary School,53.7435581,-2.0252434
